,Aboriginal Male,Aboriginal Female,Non-Aboriginal Male,Non-Aboriginal Female
Western Canada,0.4737509065231497,0.5262567273560059,0.4940957517794266,0.5059048520812965
Central Canada,0.48091603053435117,0.5190956594928866,0.48692940361571363,0.5130703064452576
Atlantic Canada,0.48147964496454604,0.5185203550354539,0.4838086946647236,0.5161913053352765
Northern Canada,0.4932367149758454,0.5066425120772947,0.5154320987654321,0.4847965249199817
